YearsCodedJob,DeveloperType,Salary,CompanySize,Year
2,Data Scientist,43750.0,2-9,2017
3,Data Scientist,51282.0512820513,100-1000,2017
4,Data Scientist,25000.0,5000-9999,2017
7,Data Scientist,81000.0,1000-4999,2017
4,Data Scientist,40000.0,10-100,2017
18,Data Scientist,150000.0,1000-4999,2017
17,Data Scientist,46969.696969697,1000-4999,2017
11,Data Scientist,62365.5913978495,100-1000,2017
15,Data Scientist,62500.0,2-9,2017
4,Data Scientist,52500.0,100-1000,2017
1,Data Scientist,20493.8271604938,2-9,2017
9,Data Scientist,119658.11965812,10-100,2017
5,Data Scientist,13219.8347107438,10-100,2017
7,Data Scientist,63440.8602150538,10-100,2017
3,Data Scientist,65000.0,2-9,2017
6,Data Scientist,94000.0,10000+,2017
6,Data Scientist,85000.0,10000+,2017
6,Data Scientist,133000.0,10000+,2017
5,Data Scientist,90000.0,10-100,2017
4,Data Scientist,27790.3225806452,10000+,2017
9,Data Scientist,119000.0,10-100,2017
5,Data Scientist,37500.0,100-1000,2017
2,Data Scientist,40000.0,10-100,2017
19,Data Scientist,39462.3655913979,100-1000,2017
3,Data Scientist,75757.5757575758,10-100,2017
3,Data Scientist,12918.6602870813,2-9,2017
15,Data Scientist,80000.0,100-1000,2017
10,Data Scientist,107816.711590297,10-100,2017
2,Data Scientist,483.870967741935,10-100,2017
6,Data Scientist,65000.0,100-1000,2017
20,Data Scientist,115384.615384615,10000+,2017
4,Data Scientist,83000.0,10-100,2017
3,Data Scientist,23703.7037037037,5000-9999,2017
18,Data Scientist,80000.0,10-100,2017
8,Data Scientist,64516.1290322581,100-1000,2017
4,Data Scientist,125000.0,1000-4999,2017
8,Data Scientist,90000.0,10000+,2017
11,Data Scientist,40100.2506265664,10000+,2017
20,Data Scientist,60000.0,100-1000,2017
5,Data Scientist,73500.0,10000+,2017
18,Data Scientist,107526.88172043,10-100,2017
4,Data Scientist,50000.0,10-100,2017
10,Data Scientist,7800.0,100-1000,2017
12,Data Scientist,130000.0,100-1000,2017
10,Data Scientist,66666.6666666667,5000-9999,2017
15,Data Scientist,102000.0,1000-4999,2017
5,Data Scientist,1550.0,2-9,2017
2,Data Scientist,15000.0,10000+,2017
3,Data Scientist,110000.0,10-100,2017
5,Data Scientist,45376.3440860215,I don't know,2017
5,Data Scientist,156000.0,10000+,2017
19,Data Scientist,64393.9393939394,100-1000,2017
16,Data Scientist,100000.0,10000+,2017
3,Data Scientist,49242.4242424242,10-100,2017
2,Data Scientist,39772.7272727273,10-100,2017
4,Data Scientist,120000.0,100-1000,2017
9,Data Scientist,75000.0,100-1000,2017
17,Data Scientist,130000.0,100-1000,2017
2,Data Scientist,70000.0,10000+,2017
20,Data Scientist,165000.0,10-100,2017
1,Data Scientist,17204.3010752688,100-1000,2017
6,Data Scientist,62121.2121212121,100-1000,2017
13,Data Scientist,168000.0,5000-9999,2017
4,Data Scientist,75757.5757575758,5000-9999,2017
8,Data Scientist,75000.0,1000-4999,2017
20,Data Scientist,69892.4731182796,10-100,2017
15,Data Scientist,89393.9393939394,2-9,2017
8,Data Scientist,98484.8484848485,10000+,2017
5,Data Scientist,28708.1339712919,100-1000,2017
9,Data Scientist,80000.0,100-1000,2017
4,Data Scientist,8809.27910732638,10-100,2017
11,Data Scientist,32300.6900601967,10000+,2017
12,Data Scientist,22436.616558223,10-100,2017
5,Data Scientist,1114.64968152866,10-100,2017
6,Data Scientist,47311.8279569892,10-100,2017
1,Data Scientist,29569.8924731183,10-100,2017
6,Data Scientist,6606.95933049479,100-1000,2017
8,Data Scientist,36363.6363636364,10-100,2017
6,Data Scientist,69892.4731182796,1000-4999,2017
7,Data Scientist,49382.7160493827,1000-4999,2017
3,Data Scientist,53763.4408602151,1000-4999,2017
5,Data Scientist,19354.8387096774,100-1000,2017
14,Data Scientist,53763.4408602151,2-9,2017
6,Data Scientist,28387.0967741935,5000-9999,2017
11,Data Scientist,45000.0,10000+,2017
11,Data Scientist,58064.5161290323,100-1000,2017
4,Data Scientist,65789.4736842105,2-9,2017
20,Data Scientist,120000.0,5000-9999,2017
7,Data Scientist,34408.6021505376,1000-4999,2017
4,Data Scientist,45161.2903225806,100-1000,2017
8,Data Scientist,100000.0,2-9,2017
3,Data Scientist,70000.0,10-100,2017
6,Data Scientist,59139.7849462366,5000-9999,2017
5,Data Scientist,964.187327823691,10000+,2017
20,Data Scientist,140000.0,10-100,2017
4,Data Scientist,36021.5053763441,10-100,2017
3,Data Scientist,90000.0,10000+,2017
11,Data Scientist,153000.0,100-1000,2017
15,Data Scientist,77174.7854540964,10-100,2017
19,Data Scientist,135000.0,5000-9999,2017
9,Data Scientist,70000.0,100-1000,2017
4,Data Scientist,62500.0,10-100,2017
5,Data Scientist,36962.3655913979,10-100,2017
8,Data Scientist,64516.1290322581,10000+,2017
6,Data Scientist,47500.0,2-9,2017
8,Data Scientist,19108.2802547771,10-100,2017
10,Data Scientist,75757.5757575758,100-1000,2017
3,Data Scientist,28000.0,2-9,2017
5,Data Scientist,45454.5454545455,100-1000,2017
18,Data Scientist,70000.0,10000+,2017
5,Data Scientist,26881.7204301075,10-100,2017
4,Data Scientist,12030.0751879699,10-100,2017
20,Data Scientist,150000.0,2-9,2017
11,Data Scientist,25806.4516129032,10-100,2017
2,Data Scientist,44086.0215053763,10000+,2017
17,Data Scientist,75757.5757575758,10-100,2017
3,Data Scientist,66000.0,10-100,2017
4,Data Scientist,81000.0,100-1000,2017
20,Data Scientist,135000.0,10000+,2017
3,Data Scientist,17618.5582146528,1000-4999,2017
9,Data Scientist,110000.0,10-100,2017
2,Data Scientist,12529.3657008614,10-100,2017
6,Data Scientist,143000.0,10-100,2017
3,Data Scientist,65000.0,10-100,2017
16,Data Scientist,53030.303030303,100-1000,2017
6,Data Scientist,39393.9393939394,10-100,2017
