YearsCodingProf,DevType,ConvertedSalary,CompanySize,Year
2,Data Analyst,21426.0,10000+,2018
23,Data Analyst,250000.0,100-1000,2018
5,Data Analyst,42456.0,1000-4999,2018
5,Data Analyst,42348.0,10-100,2018
8,Data Analyst,59172.0,1000-4999,2018
20,Data Analyst,87971.0,100-1000,2018
8,Data Analyst,45838.0,100-1000,2018
11,Data Analyst,72469.0,10-100,2018
5,Data Analyst,61580.0,100-1000,2018
23,Data Analyst,42836.0,10-100,2018
11,Data Analyst,81000.0,10000+,2018
5,Data Analyst,60000.0,10-100,2018
20,Data Analyst,58752.0,100-1000,2018
5,Data Analyst,10572.0,Fewer than 10 employees,2018
5,Data Analyst,63642.0,1000-4999,2018
5,Data Analyst,2000000.0,10-100,2018
26,Data Analyst,90000.0,1000-4999,2018
23,Data Analyst,78000.0,100-1000,2018
30,Data Analyst,791124.0,10-100,2018
11,Data Analyst,75000.0,1000-4999,2018
8,Data Analyst,60391.0,10000+,2018
2,Data Analyst,10958.0,10-100,2018
17,Data Analyst,90039.0,10000+,2018
8,Data Analyst,51408.0,10-100,2018
5,Data Analyst,45897.0,10-100,2018
14,Data Analyst,20000.0,10-100,2018
26,Data Analyst,104030.0,10-100,2018
17,Data Analyst,110000.0,1000-4999,2018
2,Data Analyst,30000.0,10-100,2018
8,Data Analyst,4476.0,10-100,2018
17,Data Analyst,200000.0,5000-9999,2018
8,Data Analyst,30000.0,100-1000,2018
5,Data Analyst,27120.0,1000-4999,2018
2,Data Analyst,44064.0,1000-4999,2018
11,Data Analyst,48955.0,100-1000,2018
2,Data Analyst,22030.0,100-1000,2018
5,Data Analyst,55562.0,1000-4999,2018
5,Data Analyst,40388.0,1000-4999,2018
2,Data Analyst,8640.0,1000-4999,2018
11,Data Analyst,63979.0,10-100,2018
30,Data Analyst,76397.0,100-1000,2018
2,Data Analyst,60000.0,10000+,2018
8,Data Analyst,12132.0,5000-9999,2018
2,Data Analyst,52000.0,100-1000,2018
2,Data Analyst,57000.0,100-1000,2018
30,Data Analyst,140000.0,100-1000,2018
2,Data Analyst,4680.0,10-100,2018
20,Data Analyst,38893.0,10-100,2018
5,Data Analyst,45838.0,10000+,2018
5,Data Analyst,10920.0,10-100,2018
14,Data Analyst,15922.0,100-1000,2018
11,Data Analyst,51403.0,10-100,2018
5,Data Analyst,60000.0,10-100,2018
30,Data Analyst,160000.0,10000+,2018
23,Data Analyst,130000.0,10-100,2018
8,Data Analyst,120000.0,1000-4999,2018
11,Data Analyst,24540.0,5000-9999,2018
2,Data Analyst,11040.0,10000+,2018
5,Data Analyst,60000.0,10-100,2018
11,Data Analyst,32676.0,10-100,2018
5,Data Analyst,54000.0,100-1000,2018
14,Data Analyst,130000.0,10000+,2018
5,Data Analyst,28000.0,100-1000,2018
2,Data Analyst,80000.0,100-1000,2018
14,Data Analyst,39648.0,5000-9999,2018
8,Data Analyst,99967.0,5000-9999,2018
2,Data Analyst,4692.0,Fewer than 10 employees,2018
