YearsCodePro,DevType,CompTotal,OrgSize,Year
10,Data Analyst,950000.0,10000+,2019
8,Data Analyst,90000.0,10-100,2019
3,Data Analyst,120000.0,1000-4999,2019
18,Data Analyst,103000.0,10000+,2019
13,Data Analyst,2000.0,2-9 employees,2019
1,Data Analyst,76800.0,10000+,2019
2,Data Analyst,50000.0,1000-4999,2019
2,Data Analyst,2200.0,2-9 employees,2019
6,Data Analyst,66750.0,10000+,2019
4,Data Analyst,100000.0,10-100,2019
2,Data Analyst,24000.0,10-100,2019
2,Data Analyst,12000.0,10-100,2019
7,Data Analyst,50000.0,1000-4999,2019
3,Data Analyst,480000.0,100-1000,2019
7,Data Analyst,86000.0,2-9 employees,2019
9,Data Analyst,2000000.0,100-1000,2019
20,Data Analyst,180000.0,5000-9999,2019
10,Data Analyst,100000.0,1,2019
10,Data Analyst,3600.0,10-100,2019
21,Data Analyst,27036.0,1,2019
2,Data Analyst,750.0,1000-4999,2019
Less than 1 year,Data Analyst,800.0,10-100,2019
20,Data Analyst,175000.0,2-9 employees,2019
6,Data Analyst,160000.0,100-1000,2019
6,Data Analyst,112000.0,10000+,2019
5,Data Analyst,17000.0,100-1000,2019
1,Data Analyst,35000.0,100-1000,2019
10,Data Analyst,1500.0,2-9 employees,2019
7,Data Analyst,12000.0,2-9 employees,2019
6,Data Analyst,1100.0,10-100,2019
19,Data Analyst,8000000.0,10-100,2019
37,Data Analyst,100000.0,10-100,2019
8,Data Analyst,97000.0,10-100,2019
10,Data Analyst,65000.0,10-100,2019
1,Data Analyst,90000.0,100-1000,2019
6,Data Analyst,80000.0,10-100,2019
23,Data Analyst,121000.0,100-1000,2019
5,Data Analyst,48000.0,100-1000,2019
2,Data Analyst,300000.0,2-9 employees,2019
7,Data Analyst,3000.0,10000+,2019
23,Data Analyst,100000.0,10000+,2019
10,Data Analyst,200000.0,10-100,2019
5,Data Analyst,103000.0,10000+,2019
2,Data Analyst,10000.0,10-100,2019
23,Data Analyst,96000.0,10-100,2019
2,Data Analyst,1250.0,100-1000,2019
10,Data Analyst,30000.0,2-9 employees,2019
3,Data Analyst,5000.0,10-100,2019
1,Data Analyst,1400000.0,2-9 employees,2019
4,Data Analyst,40000.0,100-1000,2019
7,Data Analyst,210000.0,10-100,2019
18,Data Analyst,94000.0,100-1000,2019
Less than 1 year,Data Analyst,75000.0,10000+,2019
1,Data Analyst,70000.0,1000-4999,2019
12,Data Analyst,1600.0,1,2019
12,Data Analyst,900000.0,10-100,2019
5,Data Analyst,105000.0,100-1000,2019
1,Data Analyst,27000.0,100-1000,2019
2,Data Analyst,150000.0,100-1000,2019
2,Data Analyst,32000.0,5000-9999,2019
7,Data Analyst,101000.0,5000-9999,2019
2,Data Analyst,65000.0,10-100,2019
7,Data Analyst,70000.0,10-100,2019
5,Data Analyst,85000.0,5000-9999,2019
17,Data Analyst,120000.0,10-100,2019
5,Data Analyst,95000.0,10000+,2019
5,Data Analyst,40000.0,100-1000,2019
16,Data Analyst,160000.0,100-1000,2019
7,Data Analyst,37000.0,10-100,2019
Less than 1 year,Data Analyst,70000.0,10-100,2019
20,Data Analyst,400000.0,10-100,2019
18,Data Analyst,150000.0,10-100,2019
13,Data Analyst,72000.0,10-100,2019
8,Data Analyst,100000.0,10-100,2019
13,Data Analyst,2500.0,10-100,2019
3,Data Analyst,172000.0,2-9 employees,2019
22,Data Analyst,100000.0,5000-9999,2019
18,Data Analyst,3516.0,5000-9999,2019
25,Data Analyst,140000.0,5000-9999,2019
11,Data Analyst,80000.0,10000+,2019
22,Data Analyst,180000.0,10-100,2019
10,Data Analyst,480000.0,10-100,2019
3,Data Analyst,50000.0,10-100,2019
11,Data Analyst,100000.0,1000-4999,2019
6,Data Analyst,0.0,10-100,2019
11,Data Analyst,6890000.0,10-100,2019
15,Data Analyst,126000.0,10-100,2019
2,Data Analyst,216000.0,10-100,2019
7,Data Analyst,4000.0,1000-4999,2019
2,Data Analyst,3300.0,2-9 employees,2019
2,Data Analyst,300000.0,100-1000,2019
7,Data Analyst,7000.0,1,2019
9,Data Analyst,70000.0,10000+,2019
3,Data Analyst,1000000.0,1000-4999,2019
2,Data Analyst,692000.0,10-100,2019
22,Data Analyst,250000.0,1,2019
3,Data Analyst,70000.0,5000-9999,2019
15,Data Analyst,75000.0,100-1000,2019
3,Data Analyst,58000.0,100-1000,2019
5,Data Analyst,102500.0,10000+,2019
21,Data Analyst,400000.0,10-100,2019
3,Data Analyst,35000.0,1000-4999,2019
16,Data Analyst,95000.0,2-9 employees,2019
Less than 1 year,Data Analyst,70000000.0,2-9 employees,2019
21,Data Analyst,53000.0,10-100,2019
3,Data Analyst,29000.0,1000-4999,2019
21,Data Analyst,30000.0,10-100,2019
7,Data Analyst,100000.0,10-100,2019
45,Data Analyst,200000.0,2-9 employees,2019
2,Data Analyst,900000.0,10000+,2019
5,Data Analyst,240000.0,1000-4999,2019
3,Data Analyst,564000.0,2-9 employees,2019
2,Data Analyst,25000.0,10000+,2019
3,Data Analyst,8000.0,1,2019
29,Data Analyst,132000.0,2-9 employees,2019
15,Data Analyst,150000.0,100-1000,2019
10,Data Analyst,65000.0,100-1000,2019
6,Data Analyst,23000.0,100-1000,2019
18,Data Analyst,100000.0,2-9 employees,2019
1,Data Analyst,50000.0,10000+,2019
14,Data Analyst,2200000.0,100-1000,2019
8,Data Analyst,135000.0,1000-4999,2019
10,Data Analyst,21000.0,10-100,2019
3,Data Analyst,63000.0,5000-9999,2019
1,Data Analyst,2650.0,10000+,2019
17,Data Analyst,140700.0,10000+,2019
7,Data Analyst,65000.0,1,2019
2,Data Analyst,25000000.0,100-1000,2019
19,Data Analyst,50000.0,10000+,2019
20,Data Analyst,180000.0,1000-4999,2019
18,Data Analyst,60000.0,10-100,2019
2,Data Analyst,40000.0,10000+,2019
Less than 1 year,Data Analyst,56650.0,100-1000,2019
8,Data Analyst,110000.0,10-100,2019
4,Data Analyst,40000.0,100-1000,2019
1,Data Analyst,1000000.0,10-100,2019
14,Data Analyst,130000.0,2-9 employees,2019
4,Data Analyst,72000.0,10-100,2019
2,Data Analyst,40000.0,1000-4999,2019
Less than 1 year,Data Analyst,18000.0,2-9 employees,2019
5,Data Analyst,63000.0,10000+,2019
5,Data Analyst,3500000.0,100-1000,2019
4,Data Analyst,80000.0,1000-4999,2019
Less than 1 year,Data Analyst,111000.0,10000+,2019
9,Data Analyst,2500.0,10-100,2019
15,Data Analyst,2000.0,2-9 employees,2019
21,Data Analyst,130000.0,10000+,2019
10,Data Analyst,3800.0,2-9 employees,2019
12,Data Analyst,175000.0,10-100,2019
5,Data Analyst,120000.0,1,2019
5,Data Analyst,3500.0,10-100,2019
5,Data Analyst,90000.0,10000+,2019
4,Data Analyst,1805.0,10-100,2019
12,Data Analyst,121000.0,100-1000,2019
8,Data Analyst,110000.0,10000+,2019
3,Data Analyst,85000.0,5000-9999,2019
6,Data Analyst,1800000.0,100-1000,2019
11,Data Analyst,840000.0,10-100,2019
7,Data Analyst,10000.0,10000+,2019
11,Data Analyst,70000.0,10-100,2019
4,Data Analyst,80000.0,1000-4999,2019
9,Data Analyst,10600.0,1,2019
15,Data Analyst,155000.0,100-1000,2019
1,Data Analyst,75000.0,10-100,2019
2,Data Analyst,30000.0,100-1000,2019
3,Data Analyst,30000.0,10-100,2019
5,Data Analyst,80000.0,100-1000,2019
2,Data Analyst,50000.0,10-100,2019
5,Data Analyst,1150000.0,10000+,2019
10,Data Analyst,1500.0,1,2019
6,Data Analyst,300000.0,2-9 employees,2019
Less than 1 year,Data Analyst,51400.0,1000-4999,2019
6,Data Analyst,62000000.0,10-100,2019
29,Data Analyst,100000.0,2-9 employees,2019
9,Data Analyst,16200.0,10-100,2019
5,Data Analyst,62000.0,10-100,2019
1,Data Analyst,1600.0,100-1000,2019
3,Data Analyst,52000.0,5000-9999,2019
17,Data Analyst,1000.0,2-9 employees,2019
6,Data Analyst,2500.0,1,2019
30,Data Analyst,90000.0,2-9 employees,2019
13,Data Analyst,6000.0,100-1000,2019
17,Data Analyst,120000.0,10000+,2019
3,Data Analyst,30000.0,2-9 employees,2019
6,Data Analyst,1800000.0,1000-4999,2019
Less than 1 year,Data Analyst,1000.0,10-100,2019
12,Data Analyst,95000.0,5000-9999,2019
Less than 1 year,Data Analyst,1000.0,1,2019
3,Data Analyst,50000.0,1000-4999,2019
4,Data Analyst,518000.0,5000-9999,2019
7,Data Analyst,110000.0,5000-9999,2019
2,Data Analyst,4500.0,10-100,2019
2,Data Analyst,80000.0,100-1000,2019
Less than 1 year,Data Analyst,85000.0,100-1000,2019
Less than 1 year,Data Analyst,72000.0,1000-4999,2019
10,Data Analyst,1000.0,10-100,2019
3,Data Analyst,780000.0,100-1000,2019
18,Data Analyst,135000.0,10-100,2019
7,Data Analyst,160000.0,100-1000,2019
5,Data Analyst,54000.0,100-1000,2019
20,Data Analyst,35500.0,1000-4999,2019
11,Data Analyst,95000.0,10000+,2019
8,Data Analyst,700000.0,10-100,2019
4,Data Analyst,744000.0,100-1000,2019
6,Data Analyst,35000.0,10000+,2019
6,Data Analyst,90000.0,5000-9999,2019
5,Data Analyst,60000.0,100-1000,2019
6,Data Analyst,70000.0,10-100,2019
15,Data Analyst,105000.0,10-100,2019
32,Data Analyst,4000.0,100-1000,2019
4,Data Analyst,107000.0,1000-4999,2019
18,Data Analyst,60000.0,5000-9999,2019
2,Data Analyst,1200.0,10-100,2019
3,Data Analyst,39000.0,10000+,2019
3,Data Analyst,59000.0,5000-9999,2019
3,Data Analyst,58830.0,10-100,2019
19,Data Analyst,122000.0,100-1000,2019
7,Data Analyst,6000000.0,10-100,2019
8,Data Analyst,90000.0,10-100,2019
2,Data Analyst,50000.0,100-1000,2019
34,Data Analyst,15000.0,1,2019
2,Data Analyst,25000.0,100-1000,2019
6,Data Analyst,37000.0,1000-4999,2019
8,Data Analyst,55845.0,1000-4999,2019
5,Data Analyst,2500000.0,10-100,2019
5,Data Analyst,1000.0,2-9 employees,2019
Less than 1 year,Data Analyst,5200.0,10000+,2019
5,Data Analyst,116000.0,100-1000,2019
1,Data Analyst,56000.0,10-100,2019
18,Data Analyst,114000.0,5000-9999,2019
2,Data Analyst,1700.0,10-100,2019
2,Data Analyst,13500.0,10-100,2019
5,Data Analyst,4000.0,100-1000,2019
Less than 1 year,Data Analyst,75000.0,10000+,2019
5,Data Analyst,22500.0,2-9 employees,2019
12,Data Analyst,90000.0,10-100,2019
10,Data Analyst,9000.0,2-9 employees,2019
4,Data Analyst,500000.0,10000+,2019
5,Data Analyst,148000.0,1000-4999,2019
12,Data Analyst,2500.0,2-9 employees,2019
14,Data Analyst,100.0,10-100,2019
13,Data Analyst,60000.0,5000-9999,2019
11,Data Analyst,125000.0,5000-9999,2019
8,Data Analyst,50000.0,10-100,2019
33,Data Analyst,300000.0,10-100,2019
3,Data Analyst,30000.0,10000+,2019
19,Data Analyst,85900.0,10-100,2019
13,Data Analyst,9600.0,10-100,2019
3,Data Analyst,65000.0,10000+,2019
6,Data Analyst,31000.0,100-1000,2019
10,Data Analyst,108000.0,5000-9999,2019
5,Data Analyst,65000.0,1000-4999,2019
18,Data Analyst,175000.0,5000-9999,2019
1,Data Analyst,4500.0,10-100,2019
20,Data Analyst,320000.0,10000+,2019
18,Data Analyst,135000.0,10-100,2019
1,Data Analyst,42000.0,10000+,2019
5,Data Analyst,92500.0,10-100,2019
5,Data Analyst,4500.0,10-100,2019
44,Data Analyst,25000.0,1,2019
11,Data Analyst,150000.0,100-1000,2019
12,Data Analyst,150000.0,100-1000,2019
1,Data Analyst,50000.0,10000+,2019
4,Data Analyst,85000.0,10-100,2019
16,Data Analyst,50000.0,10-100,2019
2,Data Analyst,186000.0,100-1000,2019
4,Data Analyst,13900.0,2-9 employees,2019
8,Data Analyst,80000.0,10000+,2019
9,Data Analyst,49000.0,10-100,2019
10,Data Analyst,145000.0,10-100,2019
6,Data Analyst,31000.0,1000-4999,2019
4,Data Analyst,85000.0,10000+,2019
3,Data Analyst,3336.0,10000+,2019
4,Data Analyst,3600.0,10000+,2019
3,Data Analyst,29000.0,10-100,2019
15,Data Analyst,65000.0,10-100,2019
8,Data Analyst,70000.0,10-100,2019
20,Data Analyst,1000000.0,100-1000,2019
32,Data Analyst,3000.0,10-100,2019
2,Data Analyst,420000.0,10-100,2019
16,Data Analyst,13000.0,100-1000,2019
9,Data Analyst,68000.0,1000-4999,2019
3,Data Analyst,2600.0,100-1000,2019
2,Data Analyst,45000.0,1000-4999,2019
4,Data Analyst,900000.0,10-100,2019
Less than 1 year,Data Analyst,23000.0,10-100,2019
30,Data Analyst,180000.0,10-100,2019
7,Data Analyst,48850.0,100-1000,2019
20,Data Analyst,4000.0,100-1000,2019
10,Data Analyst,250000.0,1,2019
5,Data Analyst,50000.0,100-1000,2019
15,Data Analyst,88000.0,100-1000,2019
6,Data Analyst,1900000.0,10000+,2019
4,Data Analyst,3672.0,1000-4999,2019
Less than 1 year,Data Analyst,25000.0,100-1000,2019
16,Data Analyst,78000.0,2-9 employees,2019
19,Data Analyst,120000.0,100-1000,2019
14,Data Analyst,60000.0,10-100,2019
7,Data Analyst,102000.0,100-1000,2019
12,Data Analyst,350000.0,10000+,2019
19,Data Analyst,115000.0,10-100,2019
7,Data Analyst,3000.0,1,2019
9,Data Analyst,88800.0,1000-4999,2019
5,Data Analyst,153000.0,100-1000,2019
3,Data Analyst,70000.0,1000-4999,2019
6,Data Analyst,95000.0,1000-4999,2019
6,Data Analyst,90000.0,1000-4999,2019
4,Data Analyst,2100000.0,1000-4999,2019
16,Data Analyst,38000.0,100-1000,2019
10,Data Analyst,40000.0,100-1000,2019
3,Data Analyst,7000.0,1,2019
Less than 1 year,Data Analyst,65000.0,5000-9999,2019
12,Data Analyst,65000.0,100-1000,2019
32,Data Analyst,80000.0,5000-9999,2019
2,Data Analyst,30000.0,10-100,2019
2,Data Analyst,360000.0,2-9 employees,2019
9,Data Analyst,90000.0,1000-4999,2019
4,Data Analyst,30000.0,5000-9999,2019
22,Data Analyst,157500.0,1000-4999,2019
2,Data Analyst,10000.0,100-1000,2019
2,Data Analyst,80000.0,5000-9999,2019
26,Data Analyst,50000.0,1,2019
3,Data Analyst,40000.0,10-100,2019
3,Data Analyst,21000.0,10-100,2019
10,Data Analyst,22000.0,100-1000,2019
