YearsCodePro,DevType,ConvertedComp,OrgSize,Year
3,Data Analyst,77556.0,1000-4999,2020
6,Data Analyst,55893.0,10-100,2020
15,Data Analyst,16488.0,100-1000,2020
3,Data Analyst,65000.0,10000+,2020
6,Data Analyst,48644.0,2-9,2020
3,Data Analyst,41100.0,10000+,2020
2,Data Analyst,48644.0,10000+,2020
3,Data Analyst,44595.0,1000-4999,2020
20,Data Analyst,130000.0,100-1000,2020
10,Data Analyst,171000.0,10-100,2020
5,Data Analyst,125000.0,100-1000,2020
1,Data Analyst,85000.0,100-1000,2020
2,Data Analyst,82500.0,1000-4999,2020
20,Data Analyst,1000000.0,100-1000,2020
15,Data Analyst,80000.0,100-1000,2020
3,Data Analyst,69000.0,100-1000,2020
1,Data Analyst,48500.0,10-100,2020
4,Data Analyst,105000.0,100-1000,2020
10,Data Analyst,43866.0,10-100,2020
1,Data Analyst,75000.0,10-100,2020
20,Data Analyst,581667.0,100-1000,2020
10,Data Analyst,100000.0,10-100,2020
5,Data Analyst,73000.0,10000+,2020
26,Data Analyst,45288.0,10000+,2020
20,Data Analyst,175000.0,10-100,2020
20,Data Analyst,150000.0,100-1000,2020
4,Data Analyst,67000.0,10-100,2020
8,Data Analyst,127056.0,1,2020
22,Data Analyst,75631.0,100-1000,2020
25,Data Analyst,35028.0,10000+,2020
22,Data Analyst,156000.0,2-9,2020
30,Data Analyst,175000.0,10-100,2020
1,Data Analyst,50000.0,10-100,2020
9,Data Analyst,6000.0,10-100,2020
16,Data Analyst,75631.0,100-1000,2020
28,Data Analyst,138936.0,1,2020
20,Data Analyst,120000.0,10-100,2020
4,Data Analyst,35672.0,2-9,2020
2,Data Analyst,2000000.0,100-1000,2020
14,Data Analyst,125000.0,10000+,2020
3,Data Analyst,89000.0,10000+,2020
9,Data Analyst,68068.0,10-100,2020
2,Data Analyst,16164.0,10-100,2020
8,Data Analyst,20688.0,10-100,2020
10,Data Analyst,145000.0,10-100,2020
3,Data Analyst,100000.0,1000-4999,2020
16,Data Analyst,170000.0,10-100,2020
16,Data Analyst,75631.0,5000-9999,2020
5,Data Analyst,150000.0,5000-9999,2020
5,Data Analyst,85000.0,10000+,2020
3,Data Analyst,13740.0,2-9,2020
6,Data Analyst,18156.0,2-9,2020
20,Data Analyst,1440000.0,10-100,2020
2,Data Analyst,60000.0,10-100,2020
22,Data Analyst,200000.0,10000+,2020
15,Data Analyst,90000.0,100-1000,2020
20,Data Analyst,25000.0,10-100,2020
14,Data Analyst,120000.0,100-1000,2020
6,Data Analyst,90000.0,5000-9999,2020
2,Data Analyst,64800.0,10000+,2020
6,Data Analyst,70000.0,5000-9999,2020
6,Data Analyst,90000.0,2-9,2020
1,Data Analyst,80000.0,10-100,2020
15,Data Analyst,32988.0,10-100,2020
8,Data Analyst,4488.0,1000-4999,2020
10,Data Analyst,60000.0,10-100,2020
13,Data Analyst,63500.0,1000-4999,2020
14,Data Analyst,2000000.0,100-1000,2020
3,Data Analyst,8400.0,10-100,2020
10,Data Analyst,125000.0,100-1000,2020
16,Data Analyst,100000.0,2-9,2020
25,Data Analyst,2000000.0,10-100,2020
9,Data Analyst,155000.0,100-1000,2020
Less than 1 year,Data Analyst,70000.0,2-9,2020
6,Data Analyst,56723.0,2-9,2020
2,Data Analyst,110000.0,10000+,2020
4,Data Analyst,67000.0,1000-4999,2020
1,Data Analyst,23968.0,10000+,2020
5,Data Analyst,56723.0,1000-4999,2020
10,Data Analyst,43110.0,5000-9999,2020
6,Data Analyst,40032.0,100-1000,2020
2,Data Analyst,13000.0,10-100,2020
2,Data Analyst,22620.0,1000-4999,2020
14,Data Analyst,70000.0,10-100,2020
5,Data Analyst,115000.0,2-9,2020
14,Data Analyst,136000.0,10000+,2020
36,Data Analyst,104000.0,10-100,2020
10,Data Analyst,59454.0,10000+,2020
Less than 1 year,Data Analyst,25000.0,10-100,2020
16,Data Analyst,180000.0,100-1000,2020
10,Data Analyst,9624.0,10-100,2020
20,Data Analyst,13620.0,2-9,2020
2,Data Analyst,46000.0,100-1000,2020
10,Data Analyst,82000.0,5000-9999,2020
45,Data Analyst,45379.0,10-100,2020
35,Data Analyst,110000.0,100-1000,2020
17,Data Analyst,1000000.0,100-1000,2020
8,Data Analyst,55000.0,2-9,2020
33,Data Analyst,117000.0,2-9,2020
9,Data Analyst,139000.0,100-1000,2020
2,Data Analyst,71000.0,100-1000,2020
12,Data Analyst,80000.0,10000+,2020
4,Data Analyst,85000.0,10000+,2020
6,Data Analyst,13032.0,5000-9999,2020
9,Data Analyst,90000.0,10-100,2020
1,Data Analyst,29730.0,10000+,2020
17,Data Analyst,70000.0,2-9,2020
10,Data Analyst,76000.0,100-1000,2020
6,Data Analyst,41736.0,10000+,2020
21,Data Analyst,135000.0,1000-4999,2020
5,Data Analyst,36468.0,10000+,2020
7,Data Analyst,25656.0,10000+,2020
13,Data Analyst,2000000.0,5000-9999,2020
15,Data Analyst,18876.0,10-100,2020
20,Data Analyst,38000.0,10-100,2020
3,Data Analyst,45396.0,100-1000,2020
3,Data Analyst,63000.0,10000+,2020
20,Data Analyst,140000.0,10-100,2020
6,Data Analyst,92052.0,1000-4999,2020
25,Data Analyst,96000.0,1000-4999,2020
10,Data Analyst,150000.0,2-9,2020
4,Data Analyst,67215.0,10-100,2020
2,Data Analyst,120000.0,10-100,2020
2,Data Analyst,2000000.0,10000+,2020
2,Data Analyst,9624.0,100-1000,2020
20,Data Analyst,96945.0,10-100,2020
12,Data Analyst,86316.0,1000-4999,2020
10,Data Analyst,32988.0,10-100,2020
21,Data Analyst,200000.0,10000+,2020
23,Data Analyst,2000000.0,10000+,2020
15,Data Analyst,170000.0,1,2020
1,Data Analyst,55000.0,10-100,2020
25,Data Analyst,75000.0,1,2020
12,Data Analyst,135000.0,10-100,2020
27,Data Analyst,275000.0,100-1000,2020
15,Data Analyst,326000.0,10-100,2020
13,Data Analyst,54076.0,2-9,2020
13,Data Analyst,29580.0,10000+,2020
15,Data Analyst,47160.0,10000+,2020
20,Data Analyst,27488.0,10000+,2020
19,Data Analyst,1800000.0,10-100,2020
5,Data Analyst,22339.0,100-1000,2020
8,Data Analyst,68000.0,10-100,2020
2,Data Analyst,60000.0,100-1000,2020
10,Data Analyst,60000.0,1,2020
30,Data Analyst,589428.0,10000+,2020
3,Data Analyst,71000.0,10-100,2020
16,Data Analyst,108000.0,100-1000,2020
3,Data Analyst,79413.0,1000-4999,2020
27,Data Analyst,120000.0,10-100,2020
6,Data Analyst,41232.0,1000-4999,2020
1,Data Analyst,15192.0,100-1000,2020
8,Data Analyst,54049.0,10-100,2020
14,Data Analyst,1000000.0,10-100,2020
40,Data Analyst,130000.0,100-1000,2020
12,Data Analyst,125000.0,100-1000,2020
15,Data Analyst,71340.0,10-100,2020
4,Data Analyst,75000.0,10000+,2020
10,Data Analyst,86478.0,1,2020
3,Data Analyst,110000.0,100-1000,2020
2,Data Analyst,87000.0,10-100,2020
2,Data Analyst,62697.0,10000+,2020
20,Data Analyst,2000000.0,10000+,2020
21,Data Analyst,1000000.0,100-1000,2020
1,Data Analyst,57000.0,10-100,2020
15,Data Analyst,180000.0,1000-4999,2020
24,Data Analyst,120000.0,10-100,2020
10,Data Analyst,86853.0,100-1000,2020
9,Data Analyst,58614.0,5000-9999,2020
6,Data Analyst,59000.0,10-100,2020
1,Data Analyst,50000.0,100-1000,2020
2,Data Analyst,90000.0,1000-4999,2020
20,Data Analyst,180000.0,2-9,2020
4,Data Analyst,32315.0,5000-9999,2020
23,Data Analyst,180000.0,5000-9999,2020
25,Data Analyst,36300.0,10-100,2020
10,Data Analyst,95000.0,100-1000,2020
1,Data Analyst,78072.0,10-100,2020
10,Data Analyst,862200.0,10-100,2020
1,Data Analyst,0.0,10000+,2020
6,Data Analyst,93901.0,10000+,2020
7,Data Analyst,65000.0,100-1000,2020
4,Data Analyst,84795.0,10000+,2020
13,Data Analyst,121191.0,100-1000,2020
2,Data Analyst,76000.0,2-9,2020
5,Data Analyst,150000.0,10-100,2020
10,Data Analyst,85000.0,1000-4999,2020
30,Data Analyst,75000.0,1,2020
22,Data Analyst,170000.0,10-100,2020
5,Data Analyst,102000.0,1000-4999,2020
20,Data Analyst,250000.0,10-100,2020
3,Data Analyst,34360.0,10-100,2020
8,Data Analyst,35672.0,1000-4999,2020
2,Data Analyst,20760.0,10000+,2020
5,Data Analyst,130000.0,2-9,2020
2,Data Analyst,46891.0,2-9,2020
15,Data Analyst,81074.0,10-100,2020
2,Data Analyst,86478.0,1,2020
1,Data Analyst,62774.0,1000-4999,2020
20,Data Analyst,150000.0,1,2020
10,Data Analyst,125000.0,1000-4999,2020
19,Data Analyst,64859.0,100-1000,2020
4,Data Analyst,45000.0,5000-9999,2020
27,Data Analyst,11868.0,10-100,2020
13,Data Analyst,78000.0,10000+,2020
5,Data Analyst,15900.0,10-100,2020
20,Data Analyst,90000.0,10-100,2020
3,Data Analyst,2000000.0,100-1000,2020
15,Data Analyst,84316.0,100-1000,2020
Less than 1 year,Data Analyst,1920000.0,100-1000,2020
30,Data Analyst,103408.0,10000+,2020
4,Data Analyst,70337.0,1000-4999,2020
2,Data Analyst,12924.0,100-1000,2020
7,Data Analyst,70264.0,1000-4999,2020
1,Data Analyst,55000.0,10-100,2020
25,Data Analyst,147000.0,10000+,2020
4,Data Analyst,105000.0,100-1000,2020
2,Data Analyst,55000.0,10-100,2020
8,Data Analyst,128750.0,5000-9999,2020
Less than 1 year,Data Analyst,65000.0,10-100,2020
10,Data Analyst,120000.0,10-100,2020
2,Data Analyst,2000000.0,100-1000,2020
1,Data Analyst,2000000.0,100-1000,2020
Less than 1 year,Data Analyst,55000.0,10000+,2020
9,Data Analyst,140000.0,10-100,2020
3,Data Analyst,15120.0,2-9,2020
Less than 1 year,Data Analyst,15564.0,1000-4999,2020
5,Data Analyst,105000.0,100-1000,2020
18,Data Analyst,102693.0,100-1000,2020
4,Data Analyst,48000.0,1000-4999,2020
2,Data Analyst,67215.0,100-1000,2020
7,Data Analyst,80.0,10-100,2020
20,Data Analyst,160000.0,100-1000,2020
20,Data Analyst,200000.0,2-9,2020
13,Data Analyst,200000.0,10000+,2020
3,Data Analyst,100000.0,100-1000,2020
1,Data Analyst,55000.0,10000+,2020
13,Data Analyst,78000.0,10-100,2020
6,Data Analyst,145000.0,10-100,2020
5,Data Analyst,115000.0,2-9,2020
3,Data Analyst,36000.0,1,2020
3,Data Analyst,80000.0,100-1000,2020
6,Data Analyst,79413.0,1000-4999,2020
36,Data Analyst,129720.0,1000-4999,2020
3,Data Analyst,110000.0,1000-4999,2020
11,Data Analyst,64287.0,5000-9999,2020
16,Data Analyst,232667.0,10000+,2020
22,Data Analyst,86853.0,1000-4999,2020
34,Data Analyst,200000.0,1,2020
15,Data Analyst,129259.0,1000-4999,2020
4,Data Analyst,996.0,10-100,2020
35,Data Analyst,70000.0,2-9,2020
22,Data Analyst,122000.0,10000+,2020
15,Data Analyst,41508.0,10-100,2020
2,Data Analyst,70000.0,1000-4999,2020
24,Data Analyst,134430.0,10000+,2020
4,Data Analyst,140000.0,10000+,2020
3,Data Analyst,10500.0,2-9,2020
3,Data Analyst,45379.0,2-9,2020
16,Data Analyst,110000.0,10-100,2020
3,Data Analyst,8377.0,100-1000,2020
2,Data Analyst,104000.0,10-100,2020
25,Data Analyst,105000.0,100-1000,2020
6,Data Analyst,62000.0,10-100,2020
25,Data Analyst,210000.0,1,2020
27,Data Analyst,250000.0,2-9,2020
4,Data Analyst,104000.0,2-9,2020
8,Data Analyst,125000.0,10000+,2020
10,Data Analyst,20845.0,10-100,2020
10,Data Analyst,90000.0,2-9,2020
12,Data Analyst,70000.0,2-9,2020
10,Data Analyst,60000.0,10-100,2020
20,Data Analyst,80000.0,1000-4999,2020
11,Data Analyst,64752.0,1,2020
30,Data Analyst,137649.0,100-1000,2020
15,Data Analyst,101500.0,10-100,2020
3,Data Analyst,97288.0,10000+,2020
27,Data Analyst,146000.0,10000+,2020
5,Data Analyst,101000.0,10000+,2020
Less than 1 year,Data Analyst,15912.0,10-100,2020
4,Data Analyst,74000.0,10000+,2020
9,Data Analyst,32319.0,100-1000,2020
7,Data Analyst,70990.0,5000-9999,2020
4,Data Analyst,32196.0,100-1000,2020
Less than 1 year,Data Analyst,42000.0,10000+,2020
5,Data Analyst,49461.0,100-1000,2020
