YearsCodePro,DevType,ConvertedCompYearly,OrgSize,Year
15,Data Analyst,130000.0,100-1000,2022
22,Data Analyst,450000.0,100-1000,2022
5,Data Analyst,78084.0,10000+,2022
12,Data Analyst,15480.0,10000+,2022
11,Data Analyst,200000.0,1000-4999,2022
5,Data Analyst,54025.0,10-100,2022
3,Data Analyst,58654.0,100-1000,2022
20,Data Analyst,68252.0,10-100,2022
12,Data Analyst,93846.0,10-100,2022
5,Data Analyst,34126.0,1000-4999,2022
40,Data Analyst,350000.0,1000-4999,2022
4,Data Analyst,109000.0,5000-9999,2022
15,Data Analyst,96000.0,100-1000,2022
5,Data Analyst,52255.0,100-1000,2022
1,Data Analyst,26661.0,10-100,2022
14,Data Analyst,86000.0,100-1000,2022
18,Data Analyst,160000.0,10000+,2022
10,Data Analyst,95979.0,100-1000,2022
13,Data Analyst,110000.0,10-100,2022
22,Data Analyst,44790.0,10-100,2022
10,Data Analyst,37325.0,10-100,2022
2,Data Analyst,639864.0,10-100,2022
6,Data Analyst,24118.0,10000+,2022
8,Data Analyst,230000.0,100-1000,2022
7,Data Analyst,100000.0,100-1000,2022
13,Data Analyst,15780.0,10-100,2022
9,Data Analyst,58500.0,0,2022
15,Data Analyst,100000.0,10-100,2022
4,Data Analyst,71681.0,10000+,2022
5,Data Analyst,14952.0,10000+,2022
8,Data Analyst,46070.0,100-1000,2022
28,Data Analyst,200000.0,100-1000,2022
6,Data Analyst,53628.0,100-1000,2022
1,Data Analyst,60000.0,1000-4999,2022
20,Data Analyst,90067.0,10-100,2022
4,Data Analyst,76783.0,1000-4999,2022
4,Data Analyst,131921.0,10000+,2022
6,Data Analyst,70935.0,10000+,2022
9,Data Analyst,135000.0,10000+,2022
7,Data Analyst,132000.0,100-1000,2022
3,Data Analyst,62340.0,100-1000,2022
4,Data Analyst,60800.0,100-1000,2022
18,Data Analyst,128972.0,100-1000,2022
8,Data Analyst,64608.0,1000-4999,2022
7,Data Analyst,90000.0,5000-9999,2022
26,Data Analyst,90460.0,2-9,2022
