Experience_Years,Job_Position,Salary,Company_Size,Year
15,Data Analyst,130000.0,1000,2022
22,Data Analyst,450000.0,1000,2022
5,Data Analyst,78084.0,100000,2022
12,Data Analyst,15480.0,100000,2022
11,Data Analyst,200000.0,50000,2022
5,Data Analyst,54025.0,100,2022
3,Data Analyst,58654.0,1000,2022
20,Data Analyst,68252.0,100,2022
12,Data Analyst,93846.0,100,2022
5,Data Analyst,34126.0,50000,2022
40,Data Analyst,350000.0,50000,2022
4,Data Analyst,109000.0,10000,2022
15,Data Analyst,96000.0,1000,2022
5,Data Analyst,52255.0,1000,2022
1,Data Analyst,26661.0,100,2022
14,Data Analyst,86000.0,1000,2022
18,Data Analyst,160000.0,100000,2022
10,Data Analyst,95979.0,1000,2022
13,Data Analyst,110000.0,100,2022
22,Data Analyst,44790.0,100,2022
10,Data Analyst,37325.0,100,2022
2,Data Analyst,639864.0,100,2022
6,Data Analyst,24118.0,100000,2022
8,Data Analyst,230000.0,1000,2022
7,Data Analyst,100000.0,1000,2022
13,Data Analyst,15780.0,100,2022
15,Data Analyst,100000.0,100,2022
4,Data Analyst,71681.0,100000,2022
5,Data Analyst,14952.0,100000,2022
8,Data Analyst,46070.0,1000,2022
28,Data Analyst,200000.0,1000,2022
6,Data Analyst,53628.0,1000,2022
1,Data Analyst,60000.0,50000,2022
20,Data Analyst,90067.0,100,2022
4,Data Analyst,76783.0,50000,2022
4,Data Analyst,131921.0,100000,2022
6,Data Analyst,70935.0,100000,2022
9,Data Analyst,135000.0,100000,2022
7,Data Analyst,132000.0,1000,2022
3,Data Analyst,62340.0,1000,2022
4,Data Analyst,60800.0,1000,2022
18,Data Analyst,128972.0,1000,2022
8,Data Analyst,64608.0,50000,2022
7,Data Analyst,90000.0,10000,2022
26,Data Analyst,90460.0,10,2022
2,Data Analyst,49583.0,10000,2022
13,Data Analyst,150767.0,10,2022
7,Data Analyst,75384.0,1000,2022
6,Data Analyst,90000.0,10000,2022
4,Data Analyst,110000.0,1000,2022
1,Data Analyst,48000.0,10,2022
9,Data Analyst,86035.0,1000,2022
3,Data Analyst,31993.0,100000,2022
4,Data Analyst,145000.0,1000,2022
5,Data Analyst,3500.0,100,2022
25,Data Analyst,81387.0,100,2022
29,Data Analyst,316000.0,100,2022
2,Data Analyst,3750000.0,100,2022
8,Data Analyst,75000.0,100,2022
13,Data Analyst,155000.0,100000,2022
1,Data Analyst,4308.0,100000,2022
18,Data Analyst,113234.0,100,2022
5,Data Analyst,64725.0,100,2022
5,Data Analyst,104000.0,100000,2022
31,Data Analyst,250000.0,100000,2022
4,Data Analyst,12288.0,100000,2022
8,Data Analyst,20784.0,100000,2022
3,Data Analyst,42348.0,100,2022
5,Data Analyst,7980.0,1000,2022
20,Data Analyst,57900.0,10,2022
3,Data Analyst,107756.0,1000,2022
22,Data Analyst,110000.0,100,2022
22,Data Analyst,47241.0,1000,2022
8,Data Analyst,76433.0,50000,2022
2,Data Analyst,113000.0,10000,2022
10,Data Analyst,23215.0,1000,2022
12,Data Analyst,7740.0,10,2022
15,Data Analyst,58872.0,100,2022
3,Data Analyst,64500.0,100,2022
10,Data Analyst,63228.0,1000,2022
9,Data Analyst,26796.0,100000,2022
15,Data Analyst,37116.0,100,2022
35,Data Analyst,115800.0,10000,2022
5,Data Analyst,4452.0,100,2022
8,Data Analyst,70771.0,10000,2022
5,Data Analyst,9664.0,50000,2022
6,Data Analyst,19200.0,100,2022
14,Data Analyst,350000.0,100000,2022
9,Data Analyst,7728.0,50000,2022
3,Data Analyst,44790.0,10000,2022
21,Data Analyst,155129.0,100,2022
15,Data Analyst,127388.0,1000,2022
6,Data Analyst,109787.0,50000,2022
11,Data Analyst,61281.0,50000,2022
11,Data Analyst,63986.0,50000,2022
3,Data Analyst,72894.0,10,2022
2,Data Analyst,33300.0,10000,2022
20,Data Analyst,96729.0,100000,2022
30,Data Analyst,37932.0,10,2022
23,Data Analyst,51948.0,10000,2022
6,Data Analyst,139000.0,50000,2022
4,Data Analyst,6672.0,100000,2022
7,Data Analyst,33060.0,100,2022
20,Data Analyst,25596.0,10,2022
7,Data Analyst,47990.0,100,2022
11,Data Analyst,39032.0,1000,2022
3,Data Analyst,42657.0,100000,2022
5,Data Analyst,63986.0,100,2022
1,Data Analyst,25596.0,100,2022
8,Data Analyst,11607.0,100,2022
15,Data Analyst,45720.0,50000,2022
15,Data Analyst,37932.0,100,2022
4,Data Analyst,22308.0,100,2022
20,Data Analyst,92002.0,100000,2022
24,Data Analyst,60312.0,100,2022
12,Data Analyst,95699.0,100,2022
11,Data Analyst,192228.0,10000,2022
4,Data Analyst,29136.0,10000,2022
9,Data Analyst,63804.0,50000,2022
12,Data Analyst,61560.0,100,2022
1,Data Analyst,75384.0,100,2022
6,Data Analyst,95979.0,50000,2022
7,Data Analyst,44796.0,10000,2022
10,Data Analyst,13332.0,50000,2022
3,Data Analyst,36036.0,100000,2022
9,Data Analyst,34140.0,100,2022
3,Data Analyst,95979.0,100000,2022
4,Data Analyst,82964.0,100000,2022
10,Data Analyst,62712.0,1000,2022
4,Data Analyst,13488.0,1000,2022
3,Data Analyst,12384.0,10,2022
22,Data Analyst,48732.0,100,2022
6,Data Analyst,32160.0,100,2022
23,Data Analyst,63986.0,10,2022
6,Data Analyst,127968.0,10,2022
15,Data Analyst,130932.0,10,2022
10,Data Analyst,95486.0,1000,2022
22,Data Analyst,94230.0,100000,2022
12,Data Analyst,124103.0,10000,2022
25,Data Analyst,92002.0,50000,2022
4,Data Analyst,25644.0,100,2022
4,Data Analyst,22764.0,100000,2022
1,Data Analyst,127972.0,100000,2022
24,Data Analyst,61472.0,100,2022
20,Data Analyst,51192.0,10,2022
6,Data Analyst,47172.0,1000,2022
9,Data Analyst,37752.0,10,2022
4,Data Analyst,49368.0,100,2022
1,Data Analyst,23462.0,10000,2022
5,Data Analyst,23462.0,100000,2022
7,Data Analyst,39672.0,10,2022
6,Data Analyst,82736.0,1000,2022
6,Data Analyst,57588.0,50000,2022
3,Data Analyst,63986.0,1000,2022
11,Data Analyst,83256.0,1000,2022
30,Data Analyst,106793.0,10000,2022
12,Data Analyst,51589.0,10,2022
2,Data Analyst,16863.0,100000,2022
4,Data Analyst,63984.0,100,2022
4,Data Analyst,36072.0,1000,2022
14,Data Analyst,12036.0,50000,2022
18,Data Analyst,41461.0,1000,2022
3,Data Analyst,27756.0,50000,2022
1,Data Analyst,59720.0,100,2022
4,Data Analyst,81666.0,1000,2022
5,Data Analyst,44796.0,100,2022
5,Data Analyst,56538.0,10,2022
5,Data Analyst,60787.0,100,2022
1,Data Analyst,31992.0,10,2022
5,Data Analyst,60924.0,50000,2022
12,Data Analyst,11880.0,1000,2022
31,Data Analyst,141542.0,10000,2022
8,Data Analyst,72000.0,10000,2022
4,Data Analyst,9228.0,1000,2022
30,Data Analyst,140000.0,50000,2022
27,Data Analyst,212313.0,100,2022
4,Data Analyst,26700.0,100,2022
6,Data Analyst,70276.0,100000,2022
12,Data Analyst,51960.0,100000,2022
20,Data Analyst,100511.0,10,2022
17,Data Analyst,50256.0,1000,2022
21,Data Analyst,72983.0,100000,2022
9,Data Analyst,44790.0,100,2022
5,Data Analyst,6964.0,100,2022
2,Data Analyst,34126.0,100,2022
6,Data Analyst,98520.0,100,2022
15,Data Analyst,299136.0,1000,2022
9,Data Analyst,17772.0,100,2022
14,Data Analyst,47990.0,1000,2022
8,Data Analyst,13044.0,100,2022
1,Data Analyst,21528.0,10000,2022
5,Data Analyst,34.0,100000,2022
9,Data Analyst,1128000.0,100,2022
11,Data Analyst,49908.0,100,2022
5,Data Analyst,113761.0,1000,2022
13,Data Analyst,44796.0,100,2022
8,Data Analyst,79983.0,100000,2022
2,Data Analyst,45857.0,100000,2022
3,Data Analyst,42657.0,50000,2022
11,Data Analyst,85038.0,100,2022
