,Experience_Years,Job_Position,Salary,Year
0,1,1,60000.0,2022
1,1,1,48000.0,2022
2,1,1,59720.0,2022
3,1,1,47990.0,2022
4,1,1,57000.0,2022
5,1,1,61200.0,2022
6,1,1,56991.0,2022
7,1,1,42228.0,2022
8,1,1,56000.0,2022
9,1,1,50000.0,2022
10,1,1,42946.0,2022
11,1,1,65000.0,2022
12,1,1,60307.0,2022
13,1,1,62000.0,2022
14,1,1,49056.0,2022
15,1,1,62820.0,2022
16,1,1,62820.0,2022
17,1,1,60000.0,2022
18,1,1,65000.0,2022
19,1,1,60000.0,2022
20,1,2,46704.0,2022
21,1,2,44148.0,2022
22,1,2,53322.0,2022
23,1,2,47990.0,2022
24,1,2,41461.0,2022
25,1,2,54708.0,2022
26,1,2,56538.0,2022
27,1,2,60307.0,2022
28,1,2,56991.0,2022
29,1,2,49872.0,2022
30,1,2,44796.0,2022
31,1,2,59366.0,2022
32,1,2,42228.0,2022
33,1,2,43511.0,2022
34,1,2,44790.0,2022
35,1,2,63984.0,2022
36,1,2,41385.0,2022
37,1,2,67409.0,2022
38,1,2,47990.0,2022
39,1,2,58654.0,2022
40,1,2,43974.0,2022
41,1,2,59720.0,2022
42,1,2,49908.0,2022
43,1,2,56521.0,2022
44,1,3,46704.0,2022
45,1,3,44148.0,2022
46,1,3,53322.0,2022
47,1,3,47990.0,2022
48,1,3,41461.0,2022
49,1,3,54708.0,2022
50,1,3,56538.0,2022
51,1,3,60307.0,2022
52,1,3,56991.0,2022
53,1,3,49872.0,2022
54,1,3,44796.0,2022
55,1,3,59366.0,2022
56,1,3,42228.0,2022
57,1,3,43511.0,2022
58,1,3,44790.0,2022
59,1,3,63984.0,2022
60,1,3,41385.0,2022
61,1,3,67409.0,2022
62,1,3,47990.0,2022
63,1,3,58654.0,2022
64,1,3,43974.0,2022
65,1,3,59720.0,2022
66,1,3,49908.0,2022
67,1,3,56521.0,2022
68,1,1,65000.0,2021
69,1,1,50000.0,2021
70,1,1,55000.0,2021
71,1,1,50000.0,2021
72,1,1,48000.0,2021
73,1,1,65000.0,2021
74,1,1,60792.0,2021
75,1,1,44320.0,2021
76,1,1,51888.0,2021
77,1,1,44320.0,2021
78,1,1,50500.0,2021
79,1,1,58600.0,2021
80,1,1,65000.0,2021
81,1,1,57157.0,2021
82,1,1,62045.0,2021
83,1,1,60000.0,2021
84,1,1,64000.0,2021
85,1,1,42024.0,2021
86,1,1,44100.0,2021
87,1,1,62040.0,2021
88,1,1,56500.0,2021
89,1,1,50000.0,2021
90,1,1,55000.0,2021
91,1,1,42000.0,2021
92,1,1,64859.0,2021
93,1,1,68000.0,2021
94,1,1,62950.0,2021
95,1,1,66000.0,2021
96,1,1,51704.0,2021
97,1,1,63000.0,2021
98,1,1,41724.0,2021
99,1,2,45401.0,2021
100,1,2,51429.0,2021
101,1,2,41885.0,2021
102,1,2,55000.0,2021
103,1,2,52942.0,2021
104,1,2,64737.0,2021
105,1,2,63000.0,2021
106,1,2,52800.0,2021
107,1,2,51228.0,2021
108,1,2,61500.0,2021
109,1,2,51887.0,2021
110,1,2,54049.0,2021
111,1,2,42732.0,2021
